KappaT,Bond,Height,Zcm,Width,Rfoot,Perimeter,SurfaceArea
1.818829938146394e+00,2.951209226666389e-01,1.724548063288183e+00,7.932526422998524e-01,1.043974531511239e+00,4.098008038349610e-01,3.078153103834961e+00,1.266463941821460e+01
1.814922961225577e+00,3.019951720402019e-01,1.720496281229323e+00,7.905697469662424e-01,1.044899615970701e+00,4.139661909280088e-01,3.077393390928008e+00,1.266799459448161e+01
1.810937735276450e+00,3.090295432513593e-01,1.716399820885319e+00,7.878657881725745e-01,1.045842416732285e+00,4.181639576225776e-01,3.076633657622577e+00,1.267145487705521e+01
1.806872931813542e+00,3.162277660168383e-01,1.712258527167574e+00,7.851408994507655e-01,1.046803210454288e+00,4.223943410776823e-01,3.075874241077682e+00,1.267502316612951e+01
1.802727209277062e+00,3.235936569296286e-01,1.708072250600690e+00,7.823952199687805e-01,1.047782276160672e+00,4.266572895233142e-01,3.075115489523314e+00,1.267870243020235e+01
1.798499213363046e+00,3.311311214825914e-01,1.703840848732986e+00,7.796288958134597e-01,1.048779894996535e+00,4.309529618793504e-01,3.074357761879350e+00,1.268249570260283e+01
1.794187577178024e+00,3.388441561392029e-01,1.699564184489389e+00,7.768420783422931e-01,1.049796350312214e+00,4.352811282615890e-01,3.073601428261589e+00,1.268640608556403e+01
1.789790921869758e+00,3.467368504525320e-01,1.695242128916065e+00,7.740349266058774e-01,1.050831927478974e+00,4.396420697551069e-01,3.072846869755106e+00,1.269043674817310e+01
1.785307856724995e+00,3.548133892335759e-01,1.690874558629831e+00,7.712076048698201e-01,1.051886914012927e+00,4.440356790307448e-01,3.072094479030745e+00,1.269459093143414e+01
1.780736979612376e+00,3.630780547701017e-01,1.686461356970435e+00,7.683602836206430e-01,1.052961599374270e+00,4.484618600999433e-01,3.071344660099943e+00,1.269887194602555e+01
1.776076877559804e+00,3.715352290971730e-01,1.682002415021375e+00,7.654931403518161e-01,1.054056274921882e+00,4.529208284774998e-01,3.070597828477500e+00,1.270328317358800e+01
1.771326126987871e+00,3.801893963205616e-01,1.677497629898396e+00,7.626063578838879e-01,1.055171233956478e+00,4.574125115798389e-01,3.069854411579839e+00,1.270782807003167e+01
1.766483294234484e+00,3.890451449942811e-01,1.672946905620570e+00,7.597001250868521e-01,1.056306771548669e+00,4.619368485682199e-01,3.069114848568220e+00,1.271251016411505e+01
1.761546936130653e+00,3.981071705534978e-01,1.668350153257264e+00,7.567746368502025e-01,1.057463184561462e+00,4.664937907046564e-01,3.068379590704656e+00,1.271733306042466e+01
1.756515600570033e+00,4.073802778041132e-01,1.663707291499915e+00,7.538300945175689e-01,1.058640771495220e+00,4.710835012325805e-01,3.067649101232580e+00,1.272230043833536e+01
1.751387826867511e+00,4.168693834703359e-01,1.659018244971262e+00,7.508667042173421e-01,1.059839832557506e+00,4.757057558587560e-01,3.066923855858756e+00,1.272741605614194e+01
1.746162146657458e+00,4.265795188015932e-01,1.654282946588290e+00,7.478846789031018e-01,1.061060669422607e+00,4.803607424291411e-01,3.066204342429141e+00,1.273268374828901e+01
1.740837084238225e+00,4.365158322401665e-01,1.649501335279588e+00,7.448842361469619e-01,1.062303585345489e+00,4.850482615173178e-01,3.065491061517318e+00,1.273810743046490e+01
1.735411157532959e+00,4.466835921509637e-01,1.644673358069626e+00,7.418655999055754e-01,1.063568884955296e+00,4.897684261938781e-01,3.064784526193878e+00,1.274369109768686e+01
